2020-12-04 16:23:34 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:34 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:34 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:35 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:36 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:36 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:36 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:36 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:36 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:37 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:37 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:37 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:37 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:37 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:37 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:37 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:37 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:38 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:38 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:38 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:38 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:38 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:38 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:38 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:38 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:38 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:38 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:38 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:39 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:39 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:39 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:39 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:39 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:39 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:40 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:40 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:40 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:40 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:40 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:40 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:40 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:40 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:40 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:40 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:40 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:41 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:41 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:41 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:41 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:41 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:41 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:42 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:42 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:42 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:42 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:42 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:42 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:42 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
